ISBN,Title,Author,Date Published
9780916308339,"The Churchill Documents, Volume 15: Never Surrender, May 1940 – December 1940","Churchill, Winston S.",2011
9780916308216,"The Churchill Documents, Volume 9: Disruption and Chaos, July 1919-March 1921 (Volume 9)","Churchill, Winston S.",2008
9780916308100,"The Churchill Documents, Volume 2: Young Soldier, 1896-1901 (Volume 2)","Churchill, Winston S.",2006
9780916308131,"The Churchill Documents, Volume 3: Early Years in Politics, 1901-1907 (Volume 3)","Churchill, Winston S.",2007
9780415394307,Churchill's Man of Mystery:Desmond Morton and the World of Intelligence,"Bennett, Gill",2006
9780916308254,"The Churchill Documents, Volume 12: The Wilderness Years, 1929-1935 (Volume 12)","Churchill, Winston S.",2009
9781846450051,Becoming Winston Churchill: The Untold Story of Young Winston and his American Mentor,"McMenamin, Michael",2007
9780916308179,"The Churchill Documents, Volume 6: At the Admiralty, July 1914-April 1915 (Volume 6) (Official Biography of Winston S. Churchill)","Churchill, Winston S.",2008
9780916308209,"The Churchill Documents, Volume 8: War and Aftermath, December 1916-June 1919 (Volume 8) (Official Biography of Winston S. Churchill)","Churchill, Winston S.",2008
9780916308261,"The Churchill Documents, Volume 13: The Coming of War, 1936-1939 (Volume 13)","Churchill, Winston S.",2009
9780916308261,"The Churchill Documents, Volume 13: The Coming of War, 1936-1939 (Volume 13)","Churchill, Winston S.",2009
9780916308261,"The Churchill Documents, Volume 13: The Coming of War, 1936-1939 (Volume 13)","Churchill, Winston S.",2009
9780916308148,"The Churchill Documents, Volume 4: Minister of the Crown, 1907-1911 (Volume 4) (Official Biography of Winston S. Churchill)","Churchill, Winston S.",2007
9780916308094,"The Churchill Documents: Youth, 1874-1896 (Official Biography of Winston S. Churchill) (Volume 1)","Churchill, Winston S.",2006
9780916308223,"The Churchill Documents, Volume 10: Conciliation and Reconstruction, April 1921-November 1922 (Volume 10)","Churchill, Winston S.",2008
9780916308247,"The Churchill Documents, Volume 11: The Exchequer Years, 1922-1929 (Volume 11) (Official Biography of Winston S. Churchill)","Churchill, Winston S.",2009
9780916308186,"The Churchill Documents, Volume 7: ""The Escaped Scapegoat"", May 1915-December 1916 (Volume 7) (Official Biography of Winston S. Churchill)","Churchill, Winston S.",2008
9780306821554,Churchill: The Power of Words: His Remarkable Life Recounted Through His Writings and Speeches,"Churchill, Winston",2012
9781872727448,The Book of Churchilliana,"Hall, Douglas",2006
9781904897491,Secrets of Churchill's War Rooms,"Asbury, Jonathan",2017
9781844864003,"Churchill's Army: 1939–1945 The men, machines and organisation","Bull, Stephen",2017
9780684194530,The World Crisis: An Abridgement of the Classic Four-Volume History of World War I,"Churchill, Winston",1992
9780333460801,"A Class Divided: Appeasement and the Road to Munich, 1938","Shepherd, Robert",1988
9780521466851,"Churchill and the Politics of War, 1940-1941 (Cacu)","Lawlor, Sheila",1994
9781910376553,Cabinet's Finest Hour: The Hidden Agenda of May 1940,"Owen, David",2017
9781910376553,Cabinet's Finest Hour: The Hidden Agenda of May 1940,"Owen, David",2017
9781848846777,Winston Churchill: Portrait of an Unquiet Mind,"Norman, Andrew",2012
9781848846777,Winston Churchill: Portrait of an Unquiet Mind,"Norman, Andrew",2012
9781472592392,"Winston Churchill in British Art, 1900 to The Present Day: The Titan With Many Faces","Black, Jonathan",2017
9780750960694,Churchill and Malta: A Special Relationship,"Austin, Douglas",2014
9780198755210,Churchill and Ireland,"Bew, Paul",2016
9781616080945,His Finest Hour: A Biography of Winston Churchill,"Catherwood, Christopher",2010
9781405048965,Lloyd George and Churchill: Rivals for Greatness,"Toye, Richard",2007
9781101980996,Churchill: Walking with Destiny,"Roberts, Andrew",2018
9780451499844,"Appeasement: Chamberlain, Hitler, Churchill, and the Road to War","Bouverie, Tim",2019
9780434291830,Churchill: A life,"Gilbert, Martin",1991
9780233003634,"Churchill: The Treasures of Winston Churchill, The Greatest Briton","Catherwood, Christopher",2018
9780233003634,"Churchill: The Treasures of Winston Churchill, The Greatest Briton","Catherwood, Christopher",2018
9780887621628,"The Great Dominion: Winston Churchill in Canada, 1900 - 1954","Dilks, David",2022
9780887621628,"The Great Dominion: Winston Churchill in Canada, 1900 - 1954","Dilks, David",2022
9780395419182,"Winston S. Churchill: Never Despair, 1945-1965","Gilbert, Martin",1988
9780245547799,"Churchill, 1874-1922","Birkenhead, Frederick Winston Furneaux Smith",1989
9781608193721,Mr. Churchill's Profession,"Clarke, Peter",2012
9781608193721,Mr. Churchill's Profession,"Clarke, Peter",2012
9780993016943,Churchill and the Generals,"Lepine, Mike",2019
9780719565847,David and Winston,"George, Robert Lloyd",2023
9780434291861,"Churchill, Winston S.: Road to Victory, 1941-45 v. 7 by Martin Gilbert (1986-09-22)","Gilbert, Martin",1986
