ISBN,Title,Author,Date Published,MSRP,New,Used
9780916308339,"The Churchill Documents, Volume 15: Never Surrender, May 1940 – December 1940","Churchill, Winston S.",2011,35,36.57,53.24
9780916308216,"The Churchill Documents, Volume 9: Disruption and Chaos, July 1919-March 1921 (Volume 9)","Churchill, Winston S.",2008,0.00,33.84,50.0
9780916308100,"The Churchill Documents, Volume 2: Young Soldier, 1896-1901 (Volume 2)","Churchill, Winston S.",2006,35,30.59,47.72
9780916308131,"The Churchill Documents, Volume 3: Early Years in Politics, 1901-1907 (Volume 3)","Churchill, Winston S.",2007,35,33.24,47.66
9780415394307,Churchill's Man of Mystery:Desmond Morton and the World of Intelligence,"Bennett, Gill",2006,120,99.05,38.06
9780916308254,"The Churchill Documents, Volume 12: The Wilderness Years, 1929-1935 (Volume 12)","Churchill, Winston S.",2009,35,35.0,37.25
9781846450051,Becoming Winston Churchill: The Untold Story of Young Winston and his American Mentor,"McMenamin, Michael",2007,75,80.89,30.35
9780916308179,"The Churchill Documents, Volume 6: At the Admiralty, July 1914-April 1915 (Volume 6) (Official Biography of Winston S. Churchill)","Churchill, Winston S.",2008,35,45.86,30.09
9780916308209,"The Churchill Documents, Volume 8: War and Aftermath, December 1916-June 1919 (Volume 8) (Official Biography of Winston S. Churchill)","Churchill, Winston S.",2008,0.00,30.93,29.11
9780916308261,"The Churchill Documents, Volume 13: The Coming of War, 1936-1939 (Volume 13)","Churchill, Winston S.",2009,35,31.75,27.38
9780916308261,"The Churchill Documents, Volume 13: The Coming of War, 1936-1939 (Volume 13)","Churchill, Winston S.",2009,35,31.75,27.38
9780916308261,"The Churchill Documents, Volume 13: The Coming of War, 1936-1939 (Volume 13)","Churchill, Winston S.",2009,35,31.75,27.38
9780916308148,"The Churchill Documents, Volume 4: Minister of the Crown, 1907-1911 (Volume 4) (Official Biography of Winston S. Churchill)","Churchill, Winston S.",2007,0.00,33.24,27.34
9780916308094,"The Churchill Documents: Youth, 1874-1896 (Official Biography of Winston S. Churchill) (Volume 1)","Churchill, Winston S.",2006,0.00,33.24,25.81
9780916308223,"The Churchill Documents, Volume 10: Conciliation and Reconstruction, April 1921-November 1922 (Volume 10)","Churchill, Winston S.",2008,35,35.0,24.0
9780916308247,"The Churchill Documents, Volume 11: The Exchequer Years, 1922-1929 (Volume 11) (Official Biography of Winston S. Churchill)","Churchill, Winston S.",2009,35,35.0,23.73
9780916308186,"The Churchill Documents, Volume 7: ""The Escaped Scapegoat"", May 1915-December 1916 (Volume 7) (Official Biography of Winston S. Churchill)","Churchill, Winston S.",2008,35,35.0,22.72
9780306821554,Churchill: The Power of Words: His Remarkable Life Recounted Through His Writings and Speeches,"Churchill, Winston",2012,30,49.31,21.52
9781872727448,The Book of Churchilliana,"Hall, Douglas",2006,40.68,41.14,17.45
9781904897491,Secrets of Churchill's War Rooms,"Asbury, Jonathan",2017,0.00,72.11,17.17
9781844864003,"Churchill's Army: 1939–1945 The men, machines and organisation","Bull, Stephen",2017,60,50.04,16.54
9780684194530,The World Crisis: An Abridgement of the Classic Four-Volume History of World War I,"Churchill, Winston",1992,35,79.27,15.94
9780333460801,"A Class Divided: Appeasement and the Road to Munich, 1938","Shepherd, Robert",1988,33.9,30.84,10.47
9780521466851,"Churchill and the Politics of War, 1940-1941 (Cacu)","Lawlor, Sheila",1994,35.99,30.0,9.89
9781910376553,Cabinet's Finest Hour: The Hidden Agenda of May 1940,"Owen, David",2017,29.95,23.42,9.87
9781910376553,Cabinet's Finest Hour: The Hidden Agenda of May 1940,"Owen, David",2017,29.95,23.42,9.87
9781848846777,Winston Churchill: Portrait of an Unquiet Mind,"Norman, Andrew",2012,39.95,55.77,9.83
9781848846777,Winston Churchill: Portrait of an Unquiet Mind,"Norman, Andrew",2012,39.95,55.77,9.83
9781472592392,"Winston Churchill in British Art, 1900 to The Present Day: The Titan With Many Faces","Black, Jonathan",2017,0.00,18.69,9.32
9780750960694,Churchill and Malta: A Special Relationship,"Austin, Douglas",2014,0.00,25.0,8.85
9780198755210,Churchill and Ireland,"Bew, Paul",2016,0.00,9.54,8.51
9781616080945,His Finest Hour: A Biography of Winston Churchill,"Catherwood, Christopher",2010,22.95,25.14,7.98
9781405048965,Lloyd George and Churchill: Rivals for Greatness,"Toye, Richard",2007,0.00,58.2,7.84
9781101980996,Churchill: Walking with Destiny,"Roberts, Andrew",2018,40,18.99,7.78
9780451499844,"Appeasement: Chamberlain, Hitler, Churchill, and the Road to War","Bouverie, Tim",2019,30,14.84,7.49
9780434291830,Churchill: A life,"Gilbert, Martin",1991,80.18,56.7,7.48
9780233003634,"Churchill: The Treasures of Winston Churchill, The Greatest Briton","Catherwood, Christopher",2018,0.00,25.99,7.19
9780233003634,"Churchill: The Treasures of Winston Churchill, The Greatest Briton","Catherwood, Christopher",2018,0.00,25.99,7.19
9780887621628,"The Great Dominion: Winston Churchill in Canada, 1900 - 1954","Dilks, David",2022,2.29,52.25,7.14
9780887621628,"The Great Dominion: Winston Churchill in Canada, 1900 - 1954","Dilks, David",2022,2.29,52.25,7.14
9780395419182,"Winston S. Churchill: Never Despair, 1945-1965","Gilbert, Martin",1988,40,43.95,7.0
9780245547799,"Churchill, 1874-1922","Birkenhead, Frederick Winston Furneaux Smith",1989,0.00,82.08,6.73
9781608193721,Mr. Churchill's Profession,"Clarke, Peter",2012,30,17.0,6.49
9781608193721,Mr. Churchill's Profession,"Clarke, Peter",2012,30,17.0,6.49
9780993016943,Churchill and the Generals,"Lepine, Mike",2019,0.00,25.42,6.3
9780719565847,David and Winston,"George, Robert Lloyd",2023,0.00,28.94,6.16
9780434291861,"Churchill, Winston S.: Road to Victory, 1941-45 v. 7 by Martin Gilbert (1986-09-22)","Gilbert, Martin",1986,0.00,56.96,6.08
9780316547703,"The Last Lion: Winston Spencer Churchill: Defender of the Realm, 1940-1965","Reid, Paul",2012,50,24.94,6.08
9780316547703,"The Last Lion: Winston Spencer Churchill: Defender of the Realm, 1940-1965","Reid, Paul",2012,50,24.94,6.08
9780330545969,Churchill's First War: Young Winston and the Fight Against the Taliban,Con Coughlin,2021,0.00,15.53,6.05
9780742521049,Churchill's Military Histories: A Rhetorical Study,"Valiunas, Algis",2002,50,58.96,5.99
9780297843306,Hitler and Churchill: Secrets of Leadership,"Roberts, Andrew",2003,0.00,30.37,5.98
9780297843306,Hitler and Churchill: Secrets of Leadership,"Roberts, Andrew",2003,0.00,30.37,5.98
