ISBN,Title,Author,Date Published,MSRP,New,Used
9781442222205,Harry Hopkins: FDR's Envoy to Churchill and Stalin (Biographies in American Foreign Policy),"O'Sullivan, Christopher D.",2014,0.00,39.15,36.94
9780358067764,"FDR at War Boxed Set: The Mantle of Command, Commander in Chief, and War and Peace","Hamilton, Nigel",2019,0.00,61.64,19.99
9780700615506,Electing FDR: The New Deal Campaign of 1932 (American Presidential Elections),"Ritchie, Donald A.",2007,0.00,29.95,19.25
9781599266770,Barefoot At Val-kill: A Look At Franklin And Eleanor Roosevelt When They Were Just Plain Folk.,Laclaire Traver Wood,2006,10,10.0,9.99
9781250206961,"Watching Darkness Fall: FDR, His Ambassadors, and the Rise of Adolf Hitler","McKean, David",2021,0.00,16.81,8.66
9780230609105,"FDR's Shadow: Louis Howe, the Force That Shaped Franklin and Eleanor Roosevelt","Fenster, Julie M.",2009,27,34.5,8.33
9781591025771,"The Making of FDR: The Story of Stephen T. Early, America's First Modern Press Secretary","Levin, Linda Lotridge",2008,27.5,47.75,7.57
9781591025771,"The Making of FDR: The Story of Stephen T. Early, America's First Modern Press Secretary","Levin, Linda Lotridge",2008,27.5,47.75,7.57
9781602399716,"Henry Morgenthau, Jr.: The Remarkable Life of FDR's Secretary of the Treasury","Levy, Herbert",2010,35,33.95,7.55
9780199891955,The Hopkins Touch: Harry Hopkins and the Forging of the Alliance to Defeat Hitler,"Roll, David L.",2013,34.95,14.72,7.49
1557780218,Roosevelt and Hitler: Prelude to War,"Herzstein, Robert Edwin",1989,1.99,28.02,7.36
9780762793020,"1932: The Rise of Hitler and FDR--Two Tales of Politics, Betrayal, and Unlikely Destiny","Pietrusza, David",2015,0.00,38.01,7.11
9780300190861,"1940: FDR, Willkie, Lindbergh, Hitlerthe Election amid the Storm","Dunn, Ms. Susan",2013,30,21.06,6.3
9781557503183,Sailor in the White House: The Seafaring Life of FDR,"Cross, Robert F.",2014,28.95,27.72,5.75
9781557503183,Sailor in the White House: The Seafaring Life of FDR,"Cross, Robert F.",2014,28.95,27.72,5.75
9780839710332,Beloved Island: Franklin & Eleanor and the Legacy of Campobello,"Klein, Jonas",2000,0.00,35.75,5.56
9781400061211,FDR,"Smith, Jean Edward",2007,35,44.99,5.49
9781585441976,FDR and Fear Itself: The First Inaugural Address (The Library of Presidential Rhetoric),"Houck, Davis W.",2002,6.7,0.0,5.05
9780689121609,Hard Bargain,"Shogan, Robert",1995,24,13.98,4.95
9780689121609,Hard Bargain,"Shogan, Robert",1995,24,13.98,4.95
9780060160661,A First-Class Temperament: The Emergence of Franklin Roosevelt,"Ward, Geoffrey C.",1989,1.99,16.17,4.59
9780385519588,Traitor to His Class: The Privileged Life and Radical Presidency of Franklin Delano Roosevelt,"Brands, H.W.",2008,31.12,25.65,4.57
9780385519588,Traitor to His Class: The Privileged Life and Radical Presidency of Franklin Delano Roosevelt,"Brands, H.W.",2008,31.12,25.65,4.57
9780918339331,FDR's Splendid Deception: The Moving Story of Roosevelt's Massive Disability-And the Intense Efforts to Conceal It from the Public,"Gallagher, Hugh Gregory",1993,19.95,14.99,4.52
9780199981915,Roosevelt's Second Act: The Election of 1940 and the Politics of War (Pivotal Moments in American History),"Moe, Richard",2013,29.95,18.78,4.5
9780393028898,"The Big Three: Churchill, Roosevelt and Stalin in Peace & War","Edmonds, Robin",1991,0.00,24.38,4.5
9781568520087,Before the Trumpet Young Franklin Roosevelt,"Ward, Geoffrey C",1985,0.00,12.99,4.5
9781586481841,Franklin Delano Roosevelt: Champion of Freedom,"Black, Conrad",2003,1.99,18.11,4.5
9780965083973,Patterns in Magical Christianity,"Whitehead, Nicholas",1996,12.95,8.94,4.5
9780871137807,The Three Roosevelts: Patrician Leaders Who Transformed America,"Burns, James MacGregor",2001,37.5,30.27,4.49
