ISBN,Title,Author,Date Published,MSRP,New,Used,
9781551250670,"A Blue Water Navy: The Official Operational History Of The Royal Canadian Navy In The Second World War, 1943-1945, Vol. 2, Part 2",W. A. B. Douglas,2006,60,0,78.8,
9788365958075,The King George V Class Battleships,"Koszela, Witold",2019,0,43.65,64.49,
9780851779560,The Cruiser Belfast (Anatomy of the Ship),"Watton, Ross",2010,35,87.5,40.54,
9781591140788,British Cruisers: Two World Wars and After,"Friedman, Norman",2011,85,141.12,40,
9781848322134,German Battlecruisers Of World War One,"Staff, Gary",2014,0,53.12,37.46,
718302060,"Hit first, hit hard: The story of HMS Renown, 1916-48","Smith, Peter Charles",1979,115.13,125.39,34.74,
9781526752260,The Last British Battleship: HMS Vanguard 1946–1960,"Burt, R.A.",2020,44.95,37.39,34.65,
850593816,Ark Royal: A Pictorial History Of The Royal Navy's Last Conventional Aircraft Carrier,Paul Beaver,1979,0,761.5,33.31,
9781526718853,British Town Class Cruisers: Southampton and Belfast Classes: Design Development and Performance,"Waters, Conrad",2019,64.95,31.09,31.82,
9781844864164,Jutland 1916: The Archaeology of a Naval Battlefield,"McCartney, Innes",2017,50,58.24,29.82,
9781557509888,Warspite: Warships of the Royal Navy,"Ballantyne, Iain",2001,34.95,28.23,29.25,
9781853672521,Aircraft Carriers of the Royal and Commonwealth Navies: The Complete Illustrated Encyclopedia from World War I to the Present,"Hobbs, David",1996,48.16,169.75,27.41,
9780714648958,"Stalin's Ocean-going Fleet: Soviet Naval Strategy and Shipbuilding Programs, 1935-53 (Cass Series: Naval Policy and History)","Monakov, Mikhail",2001,185,79.5,25.99,
9781901225082,Harrier Carriers: Hms  Invincible  V. 1,Neil-mccart,2004,38.04,20.36,24.85,
9781557500267,The Aircraft Carrier Victorious (Anatomy of the Ship),"Watton, Ross",1991,37.95,95.75,24.5,
9781526747631,British Cruiser Warfare: The Lessons of the Early War 1939–1941,"Raven, Alan",2019,64.95,24.18,24.33,
9781911096382,The War in The North Sea: The Royal Navy and the Imperial German Army 1914-1918,"Barry, Quintin",2017,0,91.68,24.16,
9780851775296,Queen Mary: the Cunard Liner,"Watton, Ross",1989,0,117.66,23.03,
9781781552315,"Bismarck and Hood: The Battle of the Denmark Strait, a Technical Analysis for a New Perspective","Santarini, Marco",2014,32.95,107.28,22.49,
853685630,Battleships of the Grand Fleet: A Pictorial Review of the British Battleships,"Burt, Robert & Trotter.",1982,0,0,21.63,
9781591148036,"In Defence of Naval Supremacy: Finance, Technology, and British Naval Policy, 1889-1914","Sumida, Jon Tetsuro",2014,39.95,38.59,20.96,
9780071364478,The Last Log of the Titanic: What Really Happened on the Doomed Ship's Bridge?,"Brown, David G.",2000,19.95,76.12,19.69,
9781574889239,Shattered Sword: The Untold Story of the Battle of Midway,"Parshall, Jonathan",2005,35,33.67,19.19,
9781459503267,"Canada's Bastions of Empire: Halifax, Victoria and the Royal Navy 1749-1918","Elson, Bryan",2014,29.95,23.23,19,
870219944,The Battleship Warspite (Anatomy of the Ship),"Watton, Ross",1987,32.95,79.32,18.49,
9781591149477,"We Shall Fight on the Beaches: Defying Napoleon and Hitler, 1805 and 1940","Lavery, Brian",2009,42.95,19.62,13.99,
9780719557538,Malta Convoys,"Woodman, Richard",2000,55,54.73,13.33,
9780850597226,The British aircraft carrier,"Beaver, Paul",1984,0,115.57,12.79,
9781849086745,Coronel and Falklands 1914: Duel in the South Atlantic (Campaign),"McNally, Michael",2012,21.95,17.25,12.72,
9780786864553,Ken Marschall's Art of the Titanic,"Marshall, Ken",1998,40,57.23,11.49,
9781848322097,Germany’s High Sea Fleet in the World War,"Scheer, Admiral Reinhard",2014,0,11.68,11.48,
9781849086844,British Light Cruisers 1939–45 (New Vanguard),"Konstam, Angus",2012,12.96,12.87,11.47,
9781840675306,Battlecruisers (Shipshape),"Roberts, John",2004,22.99,29.74,11.3,
9781557509819,"Flawed Victory: Jutland, 1916","Yates, Keith",2000,34.95,22.39,10.66,
9781904459378,yesterday's-navy,Warlow,2009,0,33.99,9.6,
9781472808905,U-47 in Scapa Flow: The Sinking of HMS Royal Oak 1939 (Raid),"Konstam, Angus",2015,18.95,16.35,9.54,
9781473876125,"The Victoria Cross at Sea: The Sailors, Marines and Naval Airmen Awarded Britain's Highest Honor","Winton, John",2016,0,11.17,9.46,
9780850528350,British Admirals of the Fleet 1734 - 1995: A Biographical Dictionary,"Heathcote, T.A.",2008,39.95,54.21,9.22,
9780233004860,The Royal Navy: 100 Years of Maritime Warfare in the Modern Age (Treasures),"Thompson, Julian",2017,0,28.51,8.98,
9780233004860,The Royal Navy: 100 Years of Maritime Warfare in the Modern Age (Treasures),"Thompson, Julian",2017,0,28.51,8.98,
9780571231560,Admirals,"Lambert, Andrew D.",2008,0,79.64,8.69,
9780764358241,USS New York (BB-34): From World War I to the Atomic Age (Legends of Warfare: Naval),"Doyle, David",2019,0,19.48,8.65,
9780907771357,cruisers_of_the_royal_and_commonwealth_navies,Maritime Books Staff,1987,0,28.58,8.56,
9781844256617,One Hundred Years of British Naval Aviation,"Shores, Christopher",2009,52.95,56.94,8.54,
9780907771111,"The Royal Navy in focus, 1940-49","Critchley, Mike (ed.)",1981,0,16.64,8.29,
9781557501417,Cruisers of World War Two: An International Encyclopedia,"Whitley, M. J.",1996,0,90.26,7.7,
907771041,The Royal Navy In Focus 1930-39,Critchley,1982,0,21.75,7.7,
9780760347560,"Hidden Warships: Finding World War II's Abandoned, Sunk, and Preserved Warships","Veronico, Nicholas A.",2015,30,28.91,7.55,
9780316882262,"The Secret War for the Falklands: SAS, MI6 and the War Whitehall Nearly Lost","West, Nigel",1997,18.02,56.91,7.47,
9780853689706,German capital ships of World War Two,"Whitley, M. J",1989,39,28.75,7.25,
9780853689706,German capital ships of World War Two,"Whitley, M. J",1989,39,28.75,7.25,
517279290,Queen Mary: The Cunard White Star Quadruple-Screw North Atlantic Liner (Ocean Liners of the Past Series),"Duff, David",1984,12.99,59.76,7.21,
9780713712216,Allied escort carriers of World War Two in action,Kenneth Poolman,1988,0,91.43,7.16,
9780786881475,Titanic: An Illustrated History,"Lynch, Donald",1995,1.99,43.52,7.09,
9780786883844,Lost Liners: From the Titanic to the Andrea Doria the Ocean Floor Reveals Its Greatest Lost Ships,"Ballard, Robert D.",1998,29.45,48.12,7.09,
30184665,"Jutland, 1916","Costello, John",1977,0,57.96,6.98,
9781570034923,Sir John Fisher's Naval Revolution (Studies in Maritime History),"Lambert, Nicholas A.",2002,26.42,25.15,6.96,
9780870219023,"Aircraft Carriers of the World, 1914 to the Present: An Illustrated Encyclopedia","Chesneau, Roger",1984,5.63,18.9,6.77,
9781783462933,Battleships: The First Big Guns (Images of War),"Kaplan, Philip",2014,24.95,9.75,6.73,
