ISBN,Title,Author,Date Published,MSRP,New,Used
9781848321632,From the Dreadnought to Scapa Flow: Vol II The War Years: To,Arthur J. Marder,2013,0.00,0.0,107.78
0870219227,British Cruisers of World War Two,Alan Raven,1980,40.91,173.22,85.14
0192158414,"From the Dreadnought to Scapa Flow: The Royal Navy in the Fisher Era, 1904-1919, vol. 3. Jutland and after",Arthur J. Marder,1978,65,61.01,63.36
9780851779966,The Aircraft Carrier Victorious (Anatomy of the Ship),"Watton, Ross",2004,45,81.79,45.37
0870211005,Battleships: Allied Battleships in World War II,Robert O. Dulin Jr.,1980,0.00,126.9,35.49
0870211005,Battleships: Allied Battleships in World War II,Robert O. Dulin Jr.,1980,0.00,126.9,35.49
0198226047,"Old Friends, New Enemies: The Royal Navy and the Imperial Japanese Navy, vol. 1: Strategic illusions, 1936-1941","Marder, Arthur J.",1981,150,197.72,35.03
9781591142607,"From the Dreadnought to Scapa Flow, Volume II: The War Years: To the Eve of Jutland, 1914–1916","Marder, Arthur J.",2013,0.00,0.0,30.42
0831707003,Battleship Design and Development 1905-1945,"Friedman, Norman",1978,77.73,127.47,29.75
0831707003,Battleship Design and Development 1905-1945,"Friedman, Norman",1978,77.73,127.47,29.75
0870218484,"Naval Policy Between the Wars, Vol. 1: The Period of Anglo-American Antagonism, 1919-1929","Roskill, Stephen Wentworth",1968,0.00,111.86,25.46
0870219529,The postwar naval revolution,"Friedman, Norman",1986,20.49,43.89,24.71
0354012045,"Air power and the Royal Navy, 1914-1945: A historical survey","Till, Geoffrey",1979,0.00,120.3,24.62
0870211013,Battleships: Axis and Neutral Battleships in World War II,William H. Garzke Jr.,1985,110,131.57,24.34
9780870217159,U.S. Battleships: An Illustrated Design History,Norman Friedman,1986,90,110.65,24.14
0870219790,"Warship, Volume Iv",John Roberts,1981,47.5,71.77,20.44
0811702111,"Battleships of World War I;: An illustrated encyclopedia of the battleships of all nations, 1914-1918","Preston, Antony",1972,85.09,88.94,19.89
0851772129,Warship No. 20 October 1981,Roberts,1981,0.00,209.08,19.78
0853687269,Battleship Nelson: The Story of HMS Nelson,"Careless, Ronald",1985,0.00,0.0,19.54
0870210998,Battleships: United States Battleships in World War II,Robert O. Dulin,1976,72.67,76.21,19.15
0870219170,"The Big Gun: Battleship Main Armament, 1860-1945","Hodges, Peter",1981,35,94.94,19.07
0870219162,Battleships of the Grand Fleet: A Pictorial Review of the Royal Navy's Capital Ships in World War 1,R. A. Burt,1982,74.95,95.44,18.84
0870213245,Jutland: An Analysis of the Fighting,John Campbell,1986,29.95,49.75,18.51
9780870213267,Destroyers of World War Two: An International Encyclopedia,M. J. Whitley,2000,49.95,46.86,18.24
0851770517,Invincible Class (Warship Monographs One),"Roberts, John Arthur",1972,0.00,93.9,17.99
0870219804,"Warship, Vol. 5","Roberts, John",1982,42.95,87.75,16.61
0851772110,Warship Number 19,"Gardiner, Robert; Roberts, John; Stevens, Mark. Editors",1981,0.00,23.94,15.99
0870210785,The Battlecruiser Hood (Anatomy of the Ship),"Roberts, John Arthur",1982,32.95,100.51,15.75
