ISBN,Title,Author,Date Published,MSRP,New,Used,
,"Ed Nowak's New York Central: A  Company Photographer's View of the Railroad, 1941-1967","Nowak, Ed ",1985,,,20.23,
,"Ed Nowak's New York Central: A  Company Photographer's View of the Railroad, 1941-1967","Nowak, Ed ",1985,,,20.23,
,"New York Central's Early Power, Volume II 1831-1916","Stauffer, Alvin",1967,,,25,
,"Terminal Railroad Association of St. Louis Historical and Technical Society, INC. The Southwestern Limited, 1889-1968",,2002,,,,
,Diesel Locomotives of the New York Central System,"Edson, Vail, Smith",1978,,,27,
,New York Central System Gone But Not Forgotten,"Cavanaugh, H.F. ",1983,,,13.75,
,"Memories of New York Central Diesels, Electric Power, Too","Carleton, Paul",1983,,,18,
,"Memories of New York Central Diesels, Electric Power, Too","Carleton, Paul",1983,,,18,
,"Memories of New York Central Diesels, Electric Power, Too","Carleton, Paul",1983,,,18,
,New York Central Trackside with Eugene Van Dunsent,"Marvel, Bill",1997,,,26.25,
,New York Central SystemMemories of New York Central Steam,"Haas, Arnold",1980,,,25.9,
,New York Central SystemMemories of New York Central Steam,"Haas, Arnold",1980,,,25.9,
,The Beginnings of the New York Central Railroad,"Stevens, Frank Walker",1926,,,26.25,
,New York Central Railroad's Adirondack Division Silver Rails Through the Heart of the Park,"Taibi, John",2019,,,100,
,"From Gotham to the Berkshires, New York Central's Harlem Division with Classic Photos Along ""The Old Put""","Ham, John",,,Still in Plastic,29.95,
,"Thoroughbreds, The Most Famous class of Locomotive in the World New York Centra's Hudson",Stauffer and May,1974,,,21.04,
,"New York Centra's Later Power, 1910-1968",Stauffer and May,1981,,,29.88,
,"New York Centra's Later Power, 1910-1968",Stauffer and May,1981,,,29.88,
,Railfans Guide to the Empire State,"Mech, John",1997,,,15,
,"Modern American Railway Practice, Roundhouse and Shop Machine Shop work, vol. VIII","Brookes, L. Elliott, M.E.",1908,,,60+,Has detailed layout
,"The First 50 Best of New York Central System, Book One","Harwood, Herbert H., Jr",1977,,copy #601,25,
,"The First 50 Best of New York Central System, Book Two","Nowak, Ed",1978,,copy #59,25,
,"The New York Central Railroad, Stations & Structures Pictorial vol:3 The River Division, Newburgh to Albany, New York","Bernhart, Benjamin",2011,,Signed Copy,60+,
,Lionel: A Collector's Guide and History Vol II: Postwar,McComas & Tuohy,1976,,,25,
,Lionel: A Collector's Guide and History Vol III: Standard Guage,McComas & Tuohy,1978,,,25,
,"New York Central: Annual Statistical Report, 1948",The New York Central Railroad Company,1948,,,25,
,"New York Central System Annual Reports 1952, And Financial and Corporate Information as To Controlled and Affiliated Companies ",The New York Central Railroad Company,1952,,,,
,"New York Central System Annual Reports 1953, And Financial and Corporate Information as To Controlled and Affiliated Companies ",The New York Central Railroad Company,1953,,,,
,"New York Central System Annual Reports 1954, And Financial and Corporate Information as To Controlled and Affiliated Companies ",The New York Central Railroad Company,1954,,,,
,"Locomotive Cyclopedia, Shop and Engine Terminals, 1941","Wilcox, H.C.",1941,,,200.00 +,
,Lionel Trains 1970-1997 Vol III: Accessories,"LaVoie, Roland",1997,,,45,
,"Locomotive Cyclopedia, Shop and Engine Terminals, 1938",,1938,,,250.00-495.00,
,"Locomotive Cyclopedia, Shop and Engine Terminals, 1938",,1938,,,250.00- 495.00,
803839413,"Keeping the Railroads Running, Fifty Years on the New York Central","Borntrager, Karl A. ",1974,,,15.95,
089689052x,American Premium Guide to Electric Trains,"Obrien, Richard",1986,,,5,
896890384,American Premium Guide to Electric Trains,"Obrien, Richard",1983,,,5,
897781716,Greenberg's American Toy Trains from 1900 with current Values,"Mallericah, Dallas, III",1990?,,,10,
762103272,"The Heritage of North Amrican Steam Railroads, From the First Days of Steam Power to the Present","Solomon, brian",2001,,library book,5,
,"Night of Disaster, The New York Central Gulf Curve Wreck","Taylor, Daved CMT",2003,,Signed Copy,20,
,"The New York Centra Railroad Company including Leased Lines, List of Officers and Representatives, Stations and Other Facilities, No. 4",,"March 1, 1943",,,45,
,"The New York Centra Railroad Company including Leased Lines, List of Officers and Representatives, Stations and Other Facilities, No. 4",,"March 1, 1943",,,45,
,"New York Central, The Water Level Route, New York to Buffalo","Knoll, Charles",1984,,,7.5,
,Diesel Locomotives of the New York Central System,"Edson, Vail, and Smith",1978,,,27,
,The Golden Age of Railroads in New York's Capital District,"Starr, Timothy",2012,,Signed copy,30,
,"Railroading in the New York's Capital District, Hot Off the Presses!",,2012,,signed copy,25,
,The Golden Age of Railroads in New York's Capital District,,2012,,signed copy,25,
911572872,"Railroads in Early Postcards, Vol 1 Upstate New York","Palmer, Richard and Roehl, Harvey",1990,,,8.99,
,The Rutand Road,"Shaughnessy, Jim",1964,,,10,
