ISBN,Title,Author,Date Published,MSRP,New,Used
9780897783262,Greenberg's Guide to American Flyer S Gauge: Volume 3 - Sets,"Deger, Joe",1992,45.95,256.55,156.98
0933449097,The Lake Shore And Michigan Southern Railway,David Mclellan,1989,179.5,0.0,152.63
9780897782371,Greenberg's Marx Train Catalogues: Circa 1938-1975,"Floyd, Cindy Lee",1992,74.95,509.31,105.0
0911122079,The American Locomotive Company: A Centennial Remembrance,Richard T. Steinbrenner,2021,0.00,73.94,83.99
0897781317,"Greenberg's Guide to Marx Trains, Vol. 1",Eric J. Matzke,1989,29.95,148.52,74.24
0897781325,"Greenberg's Guide to Marx Trains, Vol. 2","Matzke, Eric",1990,32.95,170.88,73.94
1582480303,"Maine Central in Color, Vol. 2","Plant, Jeremy F.",1999,0.00,86.44,73.08
9780935796759,Railroads of the Adirondacks: A History,"Kudish, Michael",1996,44,347.7,68.0
9780897782302,Greenberg's Guide to Early American Toy Trains,W. Graham Claytor Jr.,1993,59.95,63.9,62.99
1582485267,Trackside Mohawk Valley 1955-2015 with Jack Wright,Jack Wright,2021,0.00,59.95,53.99
9780975858455,Welcome Aboard The Disneyland Railroad - Collector's Edition,Steve Degaetano,2016,0.00,33.98,52.9
9781563420061,Walt Disney's Railroad Story: The Small-Scale Fascination That Led to a Full-Scale Kingdom,"Broggie, Michael",1997,195,133.0,51.0
1582483086,"New York City Electrified Railroads in Color, Vol. 1: Lines Into Grand Central Terminal","Fazio, Alfred E.; Bridget M. Hodgson",2022,0.00,58.44,49.94
1582481512,"Trackside Around Cleveland 1965-1979, With Dave McKay",Dave McKay,2005,0.00,61.86,49.49
0897780779,Greenberg Guide to Lionel Paper and Other Collectibles,"Osterhoff, Robert J.",1989,29.95,0.0,47.98
9780801844041,The American Railroad Freight Car: From the Wood-Car Era to the Coming of Steel,"White Jr., Professor John H.",1993,127,108.88,46.0
9780911581607,Trains to Victory: America's Railroads in WWII,"Heimburger, Donald J.",2009,54.94,55.75,45.22
1582481288,"Delaware & Hudson in Color, Vol. 3: D&H in the Diesel Years",Jeremy F. Plant,2004,0.00,69.08,44.49
1582481288,"Delaware & Hudson in Color, Vol. 3: D&H in the Diesel Years",Jeremy F. Plant,2004,0.00,69.08,44.49
9780801852367,The American Railroad Freight Car: From the Wood-Car Era to the Coming of Steel,"White Jr., John H.",1995,49.95,85.49,44.09
0964035626,"Boston and Albany: The New York Central in New England, Volume II (The New York Central in New England, 2)","Jones, Robert Willoughby; foreword by Robert A. Buck",1997,732.2,68.99,42.5
1582482608,"Nickel Plate Road In Color, Vol. 1: 1946-1959",Stephen M. Timko,2009,0.00,59.95,42.49
1878887270,"Delaware and Hudson in Color, Vol. 2","Plant, Jeremy",1993,0.00,102.47,40.97
9780500544860,Jim Shaughnessy Essential Witness: Sixty Years of Railroad Photography,"Shaughnessy, Jim",2017,60,43.44,37.7
9780911581485,A.C. Gilbert's Famous American Flyer Trains,"Nelson, Paul C.",1999,42.94,84.04,36.0
1582480435,Baltimore and Ohio Steam in Color,"Mainey, David T",2021,35.95,35.69,35.0
1582482934,"Delaware & Hudson in Color, Vol. 4",Tom Seaman,2010,0.00,63.0,34.94
