ISBN,Title,Author,Date Published,MSRP,New,Used
0025789406,Detroit Tigers,"Falls, Joe.",1975,0.00,0.0,26.12
9781582613109,Ball Four,"Bouton, Jim",2000,24.95,24.83,20.37
9781683583424,The Subway Series: Baseball's Big Apple Battles And The Yankees-Mets 2000 World Series Classic,"Beach, Jerry",2020,0.00,18.64,16.49
9781572153950,Baseballs Book of Firsts,"Johnson, Lloyd",2006,14.98,0.0,13.21
9780486477367,"Dynasty: The New York Yankees, 1949-1964 (Dover Baseball)","Golenbock, Peter",2010,19.95,24.24,12.99
9780983733799,Out Of The Blue - The Giants Shocking Super Season,Ny Daily News,2012,24.95,0.0,11.52
9781566194594,Ball Four,Jim Bouton,1993,38.01,56.55,7.27
9780892046881,Heroes of the Hall : Baseball's Greatest Players,Ron Smith,2002,34.95,29.52,7.25
9780760757260,100 Years of the World Series 1903-2003,"Enders, Eric",2004,19.95,10.42,6.97
9780786475919,Johnny Evers: A Baseball Life,"Snelling, Dennis",2014,0.00,25.0,6.84
9780517205013,Only the Ball Was White,"Peterson, Robert W.",1999,8.99,54.71,6.82
9781464300417,New York Yankees: An Illustrated History,Mark Gallagher,2022,9.99,10.98,6.3
9780345460905,"The New York Yankees: One Hundred Years, The Official Retrospective",Yankees,2003,50,24.89,6.23
0517065339,Fields of Summer: Great American Ballparks & Players Who Triumphed in Them,"Stein, joshua b.",1992,19.99,6.63,6.23
9780060897796,The American Game: A Celebration of Minor League Baseball,"Rosen, Ira",2006,1.99,17.97,6.19
0517566850,The American League (An Illustrated History),"Honig, Donald",1987,0.00,32.95,6.18
0517566850,The American League (An Illustrated History),"Honig, Donald",1987,0.00,32.95,6.18
9780670857319,"Shadows of Summer: Classic Baseball Photographs, 1869-1947",Donald Honig,1994,60,18.9,6.12
9780878330386,Moments Memories Miracles: A Quarter Century With the Kansas City Royals,"Cameron, Steve",1993,36,14.81,6.06
9780762433223,The Yankee Stadium Scrapbook: A Lifetime of Memories,"Fischer, David",2008,24.95,13.95,5.95
