ISBN,Title,Author,Date Published,MSRP,New,Used
9780813526690,N/A,N/A,N/A,N/A,29.75,8.57
0688069695,N/A,N/A,N/A,N/A,0.0,0.0
0816011325,N/A,N/A,N/A,N/A,0.0,0.0
0668065048,N/A,N/A,N/A,N/A,0.0,0.0
0870218285,N/A,N/A,N/A,N/A,0.0,0.0
0809437133,N/A,N/A,N/A,N/A,0.0,0.0
9780394035476,N/A,N/A,N/A,N/A,0.0,0.0
0517186845,N/A,N/A,N/A,N/A,21.75,4.08
0870219758,N/A,N/A,N/A,N/A,85.44,8.99
0891412832,N/A,N/A,N/A,N/A,76.11,5.95
0870210866,N/A,N/A,N/A,N/A,18.9,4.37
0850593840,N/A,N/A,N/A,N/A,26.99,6.24
9780754661573,N/A,N/A,N/A,N/A,160.48,16.31
0672520176,N/A,N/A,N/A,N/A,30.99,10.48
